Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Zosterops kikuyuensis,AVES,LC,Forest generalist,Unknown,NA,28200,1380,3400,Medium,3215,4219,23,2,7459,0.565625419,0.003083523,2.68E-04,0.431022925,2,Not Threatened,0.003351656,20
Urocissa xanthomelana,AVES,NT,Forest generalist,Decreasing,NA,856000,NA,NA,Medium,88463,5632,297657,35268,427020,0.013189078,0.697056344,0.082590979,0.207163599,4,Not Threatened,0.779647323,80
Locustella davidi,AVES,LC,Forest generalist,Stable,NA,639000,NA,1200,Medium,29055,6212,64817,17521,117605,0.052820883,0.551141533,0.148981761,0.247055822,2,Not Threatened,0.700123294,80
Scytalopus chocoensis,AVES,LC,Forest important,Stable,NA,155000,250,1465,High,13372,3881,3929,831,22013,0.176304911,0.17848544,0.03775042,0.607459229,2,Not Threatened,0.216235861,40
Sittiparus varius,AVES,LC,Forest generalist,Unknown,NA,2930000,NA,NA,High,162087,671,0,0,162758,0.004122685,0,0,0.995877315,2,Not Threatened,0,0
Sitta yunnanensis,AVES,NT,Forest important,Decreasing,NA,409000,2400,3400,High,17020,0,29937,4269,51226,0,0.58441026,0.083336587,0.332253153,4,Not Threatened,0.667746847,80
Serilophus rubropygius,AVES,LC,Forest generalist,Decreasing,NA,568000,300,2500,Medium,29232,3451,172400,22899,227982,0.01513716,0.756200051,0.10044214,0.128220649,2,Not Threatened,0.856642191,99
Pycnonotus xantholaemus,AVES,VU,Forest generalist,Decreasing,NA,359000,300,1800,Medium,24050,7720,221,0,31991,0.241317871,0.006908193,0,0.751773936,8,Threatened,0.006908193,20
Cryptopipo holochlora,AVES,LC,Forest important,Stable,NA,1140000,NA,1500,High,138282,47669,138983,4982,329916,0.144488294,0.421267838,0.015100814,0.419143055,2,Not Threatened,0.436368651,60
Lepidocolaptes fatimalimae,AVES,LC,Forest important,Stable,NA,2240000,NA,NA,High,1023706,436277,211159,319666,1990808,0.219145694,0.106066984,0.160570984,0.514216338,2,Not Threatened,0.266637968,40
Cinnycerthia peruana,AVES,LC,Forest important,Decreasing,NA,116000,1500,3300,High,27441,6754,7250,1265,42710,0.158136268,0.169749473,0.029618356,0.642495903,2,Not Threatened,0.19936783,20
Scytalopus gettyae,AVES,NT,Forest important,Unknown,NA,130,NA,NA,High,157,0,44,0,201,0,0.218905473,0,0.781094527,4,Not Threatened,0.218905473,40
Myiothlypis bivittata,AVES,LC,Forest important,Unknown,NA,407000,NA,NA,High,69503,51209,12792,10871,144375,0.354694372,0.088602597,0.07529697,0.481406061,2,Not Threatened,0.163899567,20
Cryptopipo litae,AVES,LC,Forest important,Stable,NA,388000,NA,1500,High,105201,12125,28198,6396,151920,0.079811743,0.185610848,0.042101106,0.692476303,2,Not Threatened,0.227711954,40
Philepitta castanea,AVES,LC,Forest important,Decreasing,NA,224000,600,1400,High,26799,7161,0,0,33960,0.210865724,0,0,0.789134276,2,Not Threatened,0,0
Smithornis rufolateralis,AVES,LC,Forest important,Decreasing,NA,4750000,NA,1500,Medium,1286712,229658,352825,57293,1926488,0.119210709,0.183144146,0.029739609,0.667905536,2,Not Threatened,0.212883755,40
Lalage polioptera,AVES,LC,Forest generalist,Stable,NA,1650000,NA,NA,Medium,519220,73473,416456,125179,1134328,0.06477227,0.367138958,0.110355206,0.457733566,2,Not Threatened,0.477494164,60
Siptornis striaticollis,AVES,LC,Forest important,Stable,NA,96200,1300,2400,High,6316,3458,1425,35,11234,0.30781556,0.126847071,0.003115542,0.562221827,2,Not Threatened,0.129962613,20
Scytalopus gonzagai,AVES,EN,Forest important,Decreasing,NA,4600,660,1140,High,181,352,0,0,533,0.660412758,0,0,0.339587242,16,Threatened,0,0
Ramphotrigon fuscicauda,AVES,LC,Forest generalist,Decreasing,NA,3400000,NA,900,Medium,214869,120801,87810,38818,462298,0.261305478,0.189942418,0.083967484,0.464784619,2,Not Threatened,0.273909902,40
Myiothlypis chlorophrys,AVES,LC,Forest important,Unknown,NA,53200,NA,NA,Medium,21711,5072,2860,22,29665,0.170975898,0.096409911,7.42E-04,0.731872577,2,Not Threatened,0.097151525,20
Zoothera dixoni,AVES,LC,Forest generalist,Unknown,NA,2570000,1200,4200,High,194757,9341,308482,29362,541942,0.017236162,0.569215894,0.05417923,0.359368715,2,Not Threatened,0.623395123,80
Nyctibius griseus,AVES,LC,Forest generalist,Decreasing,NA,17600000,NA,1800,Medium,4833939,1888055,1056869,1677021,9455884,0.199669856,0.111768397,0.177352112,0.511209634,2,Not Threatened,0.28912051,40
Setophaga pinus,AVES,LC,Forest important,Increasing,NA,4490000,NA,2100,Medium,428985,10810,0,0,439795,0.024579634,0,0,0.975420366,2,Not Threatened,0,0
Scytalopus altirostris,AVES,LC,Forest important,Stable,NA,55400,2900,3700,High,5748,1565,1645,299,9257,0.169061251,0.17770336,0.032299881,0.620935508,2,Not Threatened,0.210003241,40
Sitta neglecta,AVES,LC,Forest important,Unknown,NA,1290000,300,1000,Medium,55636,20261,160560,49468,285925,0.07086124,0.56154586,0.173010405,0.194582495,2,Not Threatened,0.734556265,80
Sirystes sibilator,AVES,LC,Forest important,Decreasing,NA,6510000,NA,NA,High,3786324,705686,67846,533215,5093071,0.138558053,0.013321236,0.104694201,0.74342651,2,Not Threatened,0.118015437,20
Ramphotrigon megacephalum,AVES,LC,Forest generalist,Decreasing,NA,9740000,NA,1400,Medium,888873,415062,254898,542949,2101782,0.197480995,0.121277088,0.258327933,0.422913984,2,Not Threatened,0.379605021,40
Zoothera talaseae,AVES,LC,Forest important,Stable,NA,10600,1000,2200,High,501,0,0,0,501,0,0,0,1,2,Not Threatened,0,0
Schistolais leucopogon,AVES,LC,Forest generalist,Stable,NA,4860000,NA,NA,Medium,2023409,217606,487415,75125,2803555,0.077617882,0.173856051,0.026796335,0.721729732,2,Not Threatened,0.200652386,40
Scytalopus caracae,AVES,LC,Forest important,Stable,NA,21900,1200,2150,Medium,426,1612,0,0,2038,0.790971541,0,0,0.209028459,2,Not Threatened,0,0
Icterus oberi,AVES,VU,Forest important,Stable,NA,30,100,900,High,14,13,0,0,27,0.481481481,0,0,0.518518519,8,Threatened,0,0
Psilopogon australis,AVES,LC,Forest generalist,Decreasing,NA,131000,NA,2000,Medium,37203,2250,24229,2103,65785,0.034202326,0.368305845,0.031967774,0.565524056,2,Not Threatened,0.400273619,60
Leptopogon superciliaris,AVES,LC,Forest generalist,Decreasing,NA,4030000,600,2400,High,174581,50007,38883,7926,271397,0.184257748,0.143269822,0.02920445,0.64326798,2,Not Threatened,0.172474272,20
Zosterops borbonicus,AVES,LC,Forest generalist,Unknown,NA,2700,NA,NA,Medium,1090,1995,0,0,3085,0.646677472,0,0,0.353322528,2,Not Threatened,0,0
Sericornis rufescens,AVES,LC,Forest generalist,Stable,NA,49200,NA,NA,Medium,122,121,3200,6919,10362,0.011677282,0.308820691,0.667728238,0.011773789,2,Not Threatened,0.976548929,99
Sitta przewalskii,AVES,LC,Forest important,Stable,NA,947000,NA,NA,High,16855,1757,421768,0,440380,0.003989736,0.9577365,0,0.038273764,2,Not Threatened,0.9577365,99
Sclerurus albigularis,AVES,NT,Forest important,Stable,NA,7380000,50,2200,High,204000,144035,73199,75057,496291,0.290222873,0.147492096,0.151235868,0.411049163,4,Not Threatened,0.298727964,40
Leptotila pallida,AVES,LC,Forest important,Decreasing,NA,212000,NA,800,Medium,86349,6963,9952,343,103607,0.067205884,0.096055286,0.003310587,0.833428243,2,Not Threatened,0.099365873,20
Scytalopus zimmeri,AVES,LC,Forest generalist,Stable,NA,65700,1700,3200,Medium,5664,458,2005,73,8200,0.055853659,0.244512195,0.008902439,0.690731707,2,Not Threatened,0.253414634,40
Lichmera indistincta,AVES,LC,Forest generalist,Decreasing,NA,11600000,NA,NA,Medium,6258099,21766,478112,15584,6773561,0.003213376,0.070585029,0.00230071,0.923900885,2,Not Threatened,0.072885739,20
Schistes geoffroyi,AVES,LC,Forest important,Stable,NA,3440000,900,2500,High,169318,80576,42154,8992,301040,0.267658783,0.140027903,0.029869785,0.562443529,2,Not Threatened,0.169897688,20
Nemosia rourei,AVES,CR,Forest important,Decreasing,NA,2200,850,1250,High,82,19,0,0,101,0.188118812,0,0,0.811881188,32,Threatened,0,0
Zosterops chrysolaemus,AVES,LC,Forest generalist,Unknown,NA,830000,400,1460,Medium,74295,5668,17025,12127,109115,0.051945195,0.156028044,0.111139623,0.680887137,2,Not Threatened,0.267167667,40
Symposiachrus browni,AVES,NT,Forest generalist,Decreasing,NA,14800,NA,600,Medium,4850,0,0,0,4850,0,0,0,1,4,Not Threatened,0,0
Sericulus ardens,AVES,LC,Forest generalist,Decreasing,NA,218000,NA,NA,Medium,143247,6424,54050,5202,208923,0.03074817,0.258707754,0.024899126,0.685644951,2,Not Threatened,0.283606879,40
Sitta victoriae,AVES,EN,Forest important,Decreasing,NA,400,2300,3000,High,0,0,0,102,102,0,0,1,0,16,Threatened,1,100
Sclerurus caudacutus,AVES,LC,Forest important,Decreasing,NA,9780000,NA,1100,High,2221098,1463186,647688,1285946,5617918,0.260449868,0.115289686,0.228900813,0.395359633,2,Not Threatened,0.344190499,40
Zosterops crookshanki,AVES,LC,Forest generalist,Unknown,NA,2900,1200,2100,Medium,48,116,0,0,164,0.707317073,0,0,0.292682927,2,Not Threatened,0,0
Schoutedenapus myoptilus,AVES,LC,Forest generalist,Stable,NA,5070000,500,2450,Medium,104272,15904,41703,12870,174749,0.091010535,0.238645142,0.07364849,0.596695832,2,Not Threatened,0.312293633,40
Liocichla ripponi,AVES,LC,Forest generalist,Decreasing,NA,935000,1400,2200,High,12401,58,37867,1568,51894,0.001117663,0.729699002,0.030215439,0.238967896,2,Not Threatened,0.759914441,80
Symposiachrus manadensis,AVES,LC,Forest important,Stable,NA,950000,NA,NA,High,306089,17366,167401,40627,531483,0.03267461,0.314969623,0.076440827,0.57591494,2,Not Threatened,0.39141045,40
Setophaga auduboni,AVES,LC,Forest generalist,Unknown,NA,14800000,NA,NA,Medium,2831788,226423,372120,79216,3509547,0.064516304,0.106030778,0.022571574,0.806881344,2,Not Threatened,0.128602352,20
Serilophus lunatus,AVES,LC,Forest generalist,Decreasing,NA,4060000,300,2000,Medium,130157,39955,553463,135060,858635,0.04653316,0.644584719,0.157296174,0.151585947,2,Not Threatened,0.801880892,99
Cyanoderma bicolor,AVES,LC,Forest generalist,Decreasing,NA,1060000,NA,1220,High,191041,14050,361519,38290,604900,0.02322698,0.597650851,0.063299719,0.31582245,2,Not Threatened,0.66095057,80
Zosterops ficedulinus,AVES,EN,Forest important,Decreasing,NA,50,NA,1600,Medium,0,5,0,0,5,1,0,0,0,16,Threatened,0,0
Sipia nigricauda,AVES,LC,Forest important,Decreasing,NA,166000,150,1500,High,21143,4583,3686,8,29420,0.155778382,0.125288919,2.72E-04,0.718660775,2,Not Threatened,0.125560843,20
Lycocorax pyrrhopterus,AVES,LC,Forest generalist,Stable,NA,56200,NA,NA,Medium,6535,132,17529,2054,26250,0.005028571,0.667771429,0.078247619,0.248952381,2,Not Threatened,0.746019048,80
Scolopax celebensis,AVES,NT,Forest important,Decreasing,NA,164000,1700,2300,High,1190,52,4556,1617,7415,0.007012812,0.614430209,0.218071477,0.160485502,4,Not Threatened,0.832501686,99
Zosterops hamlini,AVES,LC,Forest generalist,Decreasing,NA,3600,900,1950,High,1169,0,0,0,1169,0,0,0,1,2,Not Threatened,0,0
Zosterops abyssinicus,AVES,LC,Forest generalist,Unknown,NA,2820000,0,3100,Medium,44111,2772,66532,3846,117261,0.023639573,0.56738387,0.032798629,0.376177928,2,Not Threatened,0.600182499,80
Sirystes albocinereus,AVES,LC,Forest important,Decreasing,NA,2820000,NA,NA,High,1219486,378747,321394,332262,2251889,0.168190794,0.142721955,0.147548125,0.541539126,2,Not Threatened,0.29027008,40
Cinnyris batesi,AVES,LC,Forest generalist,Stable,NA,4630000,NA,NA,Medium,608031,190205,158149,49773,1006158,0.189040886,0.157181079,0.049468374,0.604309661,2,Not Threatened,0.206649453,40
Cyanoderma erythropterum,AVES,LC,Forest generalist,Decreasing,NA,1690000,NA,800,High,212557,21386,106180,29954,370077,0.057787974,0.286913264,0.080939913,0.57435885,2,Not Threatened,0.367853177,40
Machaeropterus pyrocephalus,AVES,LC,Forest important,Decreasing,NA,6220000,NA,1200,High,836109,459395,152465,328402,1776371,0.258614332,0.08582948,0.184872417,0.47068377,2,Not Threatened,0.270701897,40
Scolopax rosenbergii,AVES,LC,Forest unimportant,Stable,NA,515000,NA,NA,Medium,93389,6658,25002,16386,141435,0.047074628,0.176773783,0.11585534,0.660296249,2,Not Threatened,0.292629123,40
Zosterops kaffensis,AVES,LC,Forest generalist,Unknown,NA,63300,NA,NA,Medium,20055,3884,47039,272,71250,0.054512281,0.660196491,0.003817544,0.281473684,2,Not Threatened,0.664014035,80
Micropsitta pusio,AVES,LC,Forest generalist,Stable,NA,1140000,NA,400,Medium,163452,4284,49447,17269,234452,0.018272397,0.210904577,0.073656868,0.697166158,2,Not Threatened,0.284561445,40
Ifrita kowaldi,AVES,LC,Forest important,Stable,NA,388000,1460,3680,High,80534,3753,8545,5017,97849,0.038355016,0.087328435,0.05127288,0.823043669,2,Not Threatened,0.138601314,20
Zosterops flavilateralis,AVES,LC,Forest generalist,Unknown,NA,1090000,0,1800,Medium,8340,1235,3305,1492,14372,0.085930977,0.229961035,0.10381297,0.580295018,2,Not Threatened,0.333774005,40
Sitta carolinensis,AVES,LC,Forest generalist,Increasing,NA,14900000,1250,3600,Medium,68307,10517,17437,3526,99787,0.10539449,0.174742201,0.035335264,0.684528045,2,Not Threatened,0.210077465,40
Snowornis cryptolophus,AVES,LC,Forest important,Decreasing,NA,463000,570,2300,High,53915,21731,10412,759,86817,0.250308119,0.119930428,0.008742527,0.621018925,2,Not Threatened,0.128672956,20
Machaeropterus regulus,AVES,LC,Forest important,Decreasing,NA,241000,NA,NA,High,137522,14942,1326,1268,155058,0.096363941,0.008551639,0.008177585,0.886906835,2,Not Threatened,0.016729224,20
Zosterops kirki,AVES,LC,Forest generalist,Decreasing,NA,1300,0,2300,Medium,942,0,0,0,942,0,0,0,1,2,Not Threatened,0,0
Selasphorus platycercus,AVES,LC,Forest generalist,Stable,NA,1660000,1500,2500,High,33438,6087,18166,2037,59728,0.101912001,0.304145459,0.034104608,0.559837932,2,Not Threatened,0.338250067,40
Ninox squamipila,AVES,LC,Forest important,Decreasing,NA,34800,0,1400,Medium,4451,106,13083,1821,19461,0.005446791,0.672267612,0.093571759,0.228713838,2,Not Threatened,0.765839371,80
Lalage aurea,AVES,LC,Forest generalist,Decreasing,NA,67600,NA,NA,Medium,6774,132,20105,2243,29254,0.004512203,0.687256444,0.076673275,0.231558078,2,Not Threatened,0.763929719,80
Myiothlypis chrysogaster,AVES,LC,Forest important,Unknown,NA,246000,NA,NA,Medium,24726,21980,6159,170,53035,0.414443292,0.116130857,0.00320543,0.46622042,2,Not Threatened,0.119336287,20
Sitta leucopsis,AVES,LC,Forest important,Decreasing,NA,495000,2100,3660,High,15164,342,7860,295,23661,0.014454165,0.332192215,0.012467774,0.640885846,2,Not Threatened,0.344659989,40
Neodrepanis coruscans,AVES,LC,Forest important,Decreasing,NA,208000,400,1800,High,38603,9499,0,0,48102,0.197476196,0,0,0.802523804,2,Not Threatened,0,0
Snowornis subalaris,AVES,LC,Forest important,Decreasing,16000,630000,500,1400,High,12844,13849,16224,874,43791,0.316252198,0.370487086,0.019958439,0.293302277,2,Not Threatened,0.390445525,40
Turtur brehmeri,AVES,LC,Forest generalist,Decreasing,NA,5330000,NA,750,Medium,1714213,345083,383798,82538,2525632,0.136632336,0.151961172,0.032680137,0.678726354,2,Not Threatened,0.18464131,20
Ninox sumbaensis,AVES,EN,Forest important,Decreasing,160,6100,600,950,High,81,77,12,85,255,0.301960784,0.047058824,0.333333333,0.317647059,16,Threatened,0.380392157,40
Tyrannus caudifasciatus,AVES,LC,Forest generalist,Stable,NA,1550000,NA,2000,Medium,75766,23966,0,0,99732,0.240304015,0,0,0.759695985,2,Not Threatened,0,0
Setophaga coronata,AVES,LC,Forest generalist,Unknown,NA,12000000,NA,NA,Medium,5044120,335653,480982,102518,5963273,0.056286707,0.080657384,0.017191566,0.845864343,2,Not Threatened,0.09784895,20
Philentoma velata,AVES,NT,Forest important,Decreasing,NA,4160000,NA,1400,High,372140,36807,444940,64437,918324,0.040080625,0.484513091,0.070168045,0.405238238,4,Not Threatened,0.554681137,60
Sinosuthora zappeyi,AVES,VU,Forest generalist,Decreasing,NA,69800,2350,3450,Medium,2745,0,4397,0,7142,0,0.615653878,0,0.384346122,8,Threatened,0.615653878,80
Spelaeornis badeigularis,AVES,VU,Forest important,Decreasing,NA,1100,1800,2400,High,173,17,123,20,333,0.051051051,0.369369369,0.06006006,0.51951952,8,Threatened,0.429429429,60
Ninox theomacha,AVES,LC,Forest generalist,Stable,NA,1120000,NA,2500,Medium,388570,21281,200145,58035,668031,0.031856306,0.29960436,0.086874711,0.581664623,2,Not Threatened,0.386479071,40
Arremon taciturnus,AVES,LC,Forest important,Stable,NA,9910000,NA,1100,High,2225661,1212263,395761,1256852,5090537,0.238140495,0.07774445,0.246899689,0.437215366,2,Not Threatened,0.324644139,40
Cettia major,AVES,LC,Forest generalist,Decreasing,NA,2550000,1800,4000,High,126205,7383,185674,20133,339395,0.021753414,0.547073469,0.059320261,0.371852856,2,Not Threatened,0.60639373,80
Garrulax lugubris,AVES,LC,Forest important,Decreasing,NA,451000,NA,NA,Medium,11814,1103,25833,11383,50133,0.022001476,0.51528933,0.227056031,0.235653163,2,Not Threatened,0.742345361,80
Anthreptes neglectus,AVES,LC,Forest generalist,Decreasing,NA,561000,NA,NA,Medium,211443,73095,13433,15,297986,0.245296759,0.045079299,5.03E-05,0.709573604,2,Not Threatened,0.045129637,20
Pogoniulus subsulphureus,AVES,LC,Forest generalist,Stable,NA,6400000,NA,2100,Medium,2377277,403719,561278,115819,3458093,0.116746137,0.162308532,0.033492159,0.687453171,2,Not Threatened,0.195800691,20
Philydor fuscipenne,AVES,LC,Forest important,Decreasing,NA,707000,NA,1400,High,66584,9995,15481,8827,100887,0.099071238,0.153448908,0.087493929,0.659985925,2,Not Threatened,0.240942837,40
Certhia manipurensis,AVES,LC,Forest important,Decreasing,NA,1310000,1300,3000,High,10637,202,62832,5051,78722,0.002565992,0.798150453,0.064162496,0.135121059,2,Not Threatened,0.862312949,99
Tesia everetti,AVES,LC,Forest generalist,Stable,NA,65600,NA,NA,Medium,20367,1103,12200,604,34274,0.032181829,0.355954951,0.017622688,0.594240532,2,Not Threatened,0.373577639,40
Cyanocorax hafferi,AVES,NT,Forest important,Decreasing,NA,213000,NA,NA,High,73162,104539,358,36068,214127,0.488210268,0.001671905,0.168442093,0.341675734,4,Not Threatened,0.170113998,20
Chiroxiphia caudata,AVES,LC,Forest important,Stable,NA,1920000,NA,1900,High,366547,63537,27430,8585,466099,0.136316534,0.058850158,0.018418834,0.786414474,2,Not Threatened,0.077268992,20
Garrulax lunulatus,AVES,LC,Forest generalist,Decreasing,NA,535000,1200,3080,Medium,104371,0,20576,0,124947,0,0.164677823,0,0.835322177,2,Not Threatened,0.164677823,20
Anthreptes simplex,AVES,LC,Forest generalist,Decreasing,NA,3870000,NA,NA,Medium,690249,43197,466007,50026,1249479,0.03457201,0.37296105,0.040037488,0.552429453,2,Not Threatened,0.412998538,60
Philydor pyrrhodes,AVES,LC,Forest generalist,Stable,NA,6600000,NA,750,High,2288536,1459249,661758,1403546,5813089,0.251028154,0.113839303,0.241445813,0.39368673,2,Not Threatened,0.355285116,40
Pogonornis bidentatus,AVES,LC,Forest generalist,Stable,NA,9720000,NA,2300,Medium,1392631,188021,329333,20006,1929991,0.097420662,0.170639656,0.010365851,0.721573831,2,Not Threatened,0.181005507,20
Euchrepomis sharpei,AVES,EN,Forest generalist,Decreasing,NA,52700,1100,1700,High,7806,3520,2108,694,14128,0.249150623,0.149207248,0.04912231,0.552519819,16,Threatened,0.198329558,20
Scytalopus superciliaris,AVES,LC,Forest important,Stable,NA,56800,1500,3350,High,6521,841,2945,492,10799,0.077877581,0.272710436,0.045559774,0.603852209,2,Not Threatened,0.31827021,40
Chlamydera cerviniventris,AVES,LC,Forest generalist,Stable,NA,1330000,NA,NA,Medium,167995,8076,7489,908,184468,0.043779951,0.040597827,0.004922263,0.910699959,2,Not Threatened,0.04552009,20
Garrulax merulinus,AVES,LC,Forest generalist,Decreasing,NA,863000,800,2000,Medium,46449,308,230424,19203,296384,0.001039192,0.777450875,0.064790947,0.156718986,2,Not Threatened,0.842241821,99
Sericornis beccarii,AVES,LC,Forest generalist,Stable,NA,885000,NA,NA,Medium,191469,21187,68968,11980,293604,0.072161823,0.234901432,0.040803259,0.652133486,2,Not Threatened,0.275704691,40
Arses insularis,AVES,LC,Forest important,Stable,NA,235000,NA,NA,High,131834,5268,43129,23234,203465,0.025891431,0.211972575,0.11419163,0.647944364,2,Not Threatened,0.326164205,40
Accipiter castanilius,AVES,LC,Forest important,Decreasing,NA,3810000,NA,NA,High,1644393,281818,455321,78508,2460040,0.1145583,0.185086828,0.031913302,0.66844157,2,Not Threatened,0.21700013,40
Chasiempis sandwichensis,AVES,VU,Forest generalist,Decreasing,NA,10400,NA,2900,Medium,3036,611,59,0,3706,0.164867782,0.01592013,0,0.819212089,8,Threatened,0.01592013,20
Laniarius holomelas,AVES,LC,Forest important,Stable,NA,135000,NA,3000,Medium,43450,8265,26189,4748,82652,0.09999758,0.316858636,0.057445676,0.525698108,2,Not Threatened,0.374304312,40
Illadopsis albipectus,AVES,LC,Forest important,Stable,NA,2160000,NA,NA,High,912434,181653,255179,81086,1430352,0.126998809,0.178402939,0.056689542,0.637908711,2,Not Threatened,0.235092481,40
Garrulax milleti,AVES,LC,Forest important,Decreasing,NA,73800,800,1650,High,1849,418,11688,4356,18311,0.022827808,0.638304844,0.237889793,0.100977554,2,Not Threatened,0.876194637,99
Euchrepomis callinota,AVES,LC,Forest important,Decreasing,NA,5150000,600,2400,High,118988,42541,31340,6356,199225,0.213532438,0.157309575,0.031903627,0.597254361,2,Not Threatened,0.189213201,20
Arses kaupi,AVES,LC,Forest generalist,Stable,NA,38700,NA,NA,Medium,13167,4419,6793,10245,34624,0.127628235,0.196193392,0.295893022,0.380285351,2,Not Threatened,0.492086414,60
Chlamydera maculata,AVES,LC,Forest generalist,Decreasing,NA,2010000,NA,NA,Medium,1939708,4519,335103,1230,2280560,0.001981531,0.14693891,5.39E-04,0.850540218,2,Not Threatened,0.147478251,20
Lanius tigrinus,AVES,LC,Forest generalist,Decreasing,NA,4670000,NA,1200,Medium,1195875,59230,1036983,150514,2442602,0.024248731,0.424540306,0.061620354,0.489590609,2,Not Threatened,0.48616066,60
Laniarius nigerrimus,AVES,LC,Forest generalist,Stable,NA,215000,NA,3000,Medium,2607,140,3000,1814,7561,0.018516069,0.396772914,0.239915355,0.344795662,2,Not Threatened,0.636688269,80
Accipiter cirrocephalus,AVES,LC,Forest generalist,Decreasing,NA,14400000,NA,2500,Medium,744418,40422,233962,68476,1087278,0.037177244,0.215181398,0.062979293,0.684662064,2,Not Threatened,0.278160691,40
Kupeornis rufocinctus,AVES,NT,Forest important,Decreasing,NA,89100,1500,3200,High,18038,2483,10783,2114,33418,0.074301275,0.322670417,0.063259321,0.539768987,4,Not Threatened,0.385929738,40
Chlamydera nuchalis,AVES,LC,Forest generalist,Stable,NA,2550000,NA,NA,Medium,1314899,6942,237406,13358,1572605,0.004414332,0.150963529,0.008494186,0.836127953,2,Not Threatened,0.159457715,20
Garrulax pectoralis,AVES,LC,Forest generalist,Decreasing,NA,5950000,NA,NA,Medium,1513682,33032,1112495,121487,2780696,0.01187904,0.400077894,0.043689422,0.544353644,2,Not Threatened,0.443767316,60
Thamnistes anabatinus,AVES,LC,Forest important,Decreasing,NA,2340000,NA,400,High,116854,33212,56357,27912,234335,0.141728722,0.240497578,0.119111528,0.498662172,2,Not Threatened,0.359609107,40
Artamus maximus,AVES,LC,Forest generalist,Stable,NA,681000,NA,NA,Medium,186820,13431,61358,36107,297716,0.045113464,0.206095742,0.121280012,0.627510782,2,Not Threatened,0.327375754,40
Laniarius poensis,AVES,LC,Forest important,Stable,NA,995000,NA,3000,Medium,25406,3417,24821,5493,59137,0.057781085,0.41972031,0.09288601,0.429612594,2,Not Threatened,0.512606321,60
Lanio versicolor,AVES,LC,Forest generalist,Decreasing,NA,3730000,NA,1200,High,1250982,734091,158547,629425,2773045,0.264723796,0.057174334,0.226979728,0.451122142,2,Not Threatened,0.284154062,40
Lalage leucopyga,AVES,LC,Forest important,Stable,NA,715000,NA,NA,Medium,29033,4519,7267,425,41244,0.109567452,0.176195325,0.010304529,0.703932693,2,Not Threatened,0.186499855,20
Chlamydochaera jefferyi,AVES,LC,Forest important,Decreasing,NA,349000,700,3200,High,350,329,36070,18411,55160,0.005964467,0.653915881,0.333774474,0.006345178,2,Not Threatened,0.987690355,99
Garrulax poecilorhynchus,AVES,LC,Forest important,Decreasing,NA,24800,340,2100,High,9841,4003,2116,569,16529,0.24218041,0.128017424,0.034424345,0.595377821,2,Not Threatened,0.162441769,20
Cantorchilus modestus,AVES,LC,Forest generalist,Unknown,NA,752000,NA,2000,Medium,96111,25077,55678,5291,182157,0.137666958,0.305659404,0.029046372,0.527627267,2,Not Threatened,0.334705776,40
Smicrornis brevirostris,AVES,LC,Forest generalist,Decreasing,NA,9560000,NA,NA,Medium,8213262,8859,458512,13956,8694589,0.00101891,0.052735328,0.001605136,0.944640626,2,Not Threatened,0.054340464,20
Lalage nigra,AVES,LC,Forest generalist,Decreasing,NA,7010000,NA,NA,Medium,1100472,85268,530895,70788,1787423,0.047704433,0.29701699,0.039603384,0.615675193,2,Not Threatened,0.336620375,40
Lepidocolaptes fuscicapillus,AVES,LC,Forest generalist,Decreasing,NA,2390000,NA,1100,Medium,795641,422793,16528,465119,1700081,0.248689915,0.00972189,0.273586376,0.468001819,2,Not Threatened,0.283308266,40
Cinclosoma ajax,AVES,LC,Forest important,Stable,NA,549000,NA,800,High,61675,791,20533,762,83761,0.009443536,0.245137952,0.009097313,0.7363212,2,Not Threatened,0.254235265,40
Lanius mackinnoni,AVES,LC,Forest generalist,Increasing,NA,3430000,NA,3200,Medium,778472,63798,179577,26577,1048424,0.060851335,0.171282802,0.025349477,0.742516387,2,Not Threatened,0.196632279,20
Lepidothrix nattereri,AVES,LC,Forest important,Decreasing,NA,1120000,NA,500,High,340456,175014,10266,163421,689157,0.253953743,0.01489646,0.237131742,0.494018054,2,Not Threatened,0.252028203,40
Grallaria milleri,AVES,VU,Forest generalist,Decreasing,NA,18200,1800,3140,Medium,7284,1060,6,0,8350,0.126946108,7.19E-04,0,0.872335329,8,Threatened,7.19E-04,20
Urocissa whiteheadi,AVES,EN,Forest important,Decreasing,NA,38400,NA,NA,Medium,27556,0,14461,0,42017,0,0.344170217,0,0.655829783,16,Threatened,0.344170217,40
Cinnycerthia fulva,AVES,LC,Forest important,Decreasing,NA,186000,1500,3300,High,30934,16574,6363,1008,54879,0.302009876,0.11594599,0.018367682,0.563676452,2,Not Threatened,0.134313672,20
Smithornis sharpei,AVES,LC,Forest important,Decreasing,NA,2220000,100,1950,High,340946,49925,120601,16362,527834,0.094584661,0.228482818,0.030998382,0.645934138,2,Not Threatened,0.259481201,40
